cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
2023-06-23 06:14:52.07,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,100,2023-06-23 06:16:16.52
2023-06-23 06:16:18.80,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,100,2023-06-23 06:16:21.11
2023-06-23 06:18:41.23,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,2,2023-06-23 20:28:39.46
2023-06-23 20:47:53.60,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-23 20:48:05.46
2023-06-23 20:54:16.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-23 20:57:19.68
2023-06-24 21:24:09.12,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-24 21:24:10.03
2023-06-24 21:27:37.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-24 21:27:41.31
2023-06-25 00:26:22.81,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,4,2023-06-25 19:05:10.59
2023-06-24 21:24:09.12,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-24 21:24:10.03
2023-06-24 21:27:37.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-24 21:27:41.31
2023-06-25 00:26:22.81,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,4,2023-06-25 19:05:10.59
2023-06-27 01:59:01.54,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-27 01:59:05.97
2023-06-27 08:18:40.12,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,29,2023-06-27 08:18:40.82
2023-06-27 08:18:41.39,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,28,2023-06-27 08:36:58.67
2023-06-27 09:03:11.90,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,41,2023-06-27 09:03:51.41
2023-06-27 01:59:01.54,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-27 01:59:05.97
2023-06-27 10:28:32.28,11c8011f-41cb-49d7-bf2f-d277977d01a1,96,29,2023-06-28 09:45:41.24
2023-06-28 10:14:46.97,11c8011f-41cb-49d7-bf2f-d277977d01a1,48,41,2023-06-28 11:33:11.87
2023-06-28 11:33:19.87,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,31,2023-06-28 12:06:48.94
2023-06-28 12:18:12.29,11c8011f-41cb-49d7-bf2f-d277977d01a1,38,25,2023-06-28 13:32:23.27
2023-06-28 07:27:16.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,5,2023-06-28 23:09:26.57
2023-06-28 23:27:44.04,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-28 23:27:45.45
2023-06-28 23:27:46.35,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-28 23:27:46.65
2023-06-28 23:52:04.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-28 23:52:08.21
2023-06-28 23:53:51.35,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-28 23:53:55.01
2023-06-28 23:53:55.36,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,2023-06-28 23:53:59.59
2023-06-29 00:02:49.97,f44e072b-5325-4d79-a16f-b4f1f9271fda,8,8,2023-06-29 00:02:52.14
2023-06-28 13:51:45.27,11c8011f-41cb-49d7-bf2f-d277977d01a1,37,17,2023-06-28 15:08:46.58
2023-06-28 15:29:29.08,11c8011f-41cb-49d7-bf2f-d277977d01a1,34,11,2023-06-29 03:46:17.44
2023-06-29 04:11:36.46,11c8011f-41cb-49d7-bf2f-d277977d01a1,35,35,2023-06-29 05:46:44.22
2023-06-29 06:23:22.84,11c8011f-41cb-49d7-bf2f-d277977d01a1,47,47,2023-06-29 06:23:31.53
2023-06-29 06:27:11.43,11c8011f-41cb-49d7-bf2f-d277977d01a1,48,48,2023-06-29 06:32:33.86
2023-06-29 09:43:18.40,11c8011f-41cb-49d7-bf2f-d277977d01a1,54,23,2023-06-29 15:44:27.59
2023-06-29 07:17:25.52,f44e072b-5325-4d79-a16f-b4f1f9271fda,100,2,2023-06-29 19:31:31.74
2023-06-29 19:33:15.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,2023-06-29 19:33:18.34
2023-06-29 19:34:40.59,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-06-29 19:34:42.06
2023-06-29 19:35:48.95,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,5,2023-06-29 19:35:50.15
2023-06-29 19:43:06.22,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,7,2023-06-29 19:43:09.77
2023-06-29 19:49:05.43,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-29 19:49:07.07
2023-06-29 19:52:28.03,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,9,2023-06-29 19:52:30.02
2023-06-29 20:01:26.18,f44e072b-5325-4d79-a16f-b4f1f9271fda,10,10,2023-06-29 20:01:35.40
2023-06-29 20:07:58.20,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,11,2023-06-29 20:07:59.42
