cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:20,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,6,24/06/2023 21:24
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:24,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,24/06/2023 21:27
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
24/06/2023 21:27,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,25/06/2023 00:26
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
25/06/2023 19:05,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,4,25/06/2023 19:16
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 01:59,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,27/06/2023 04:23
27/06/2023 06:43,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,29,27/06/2023 08:18
